,phrase,label,sentiment,subjectivity,language,count
BILD,BILD,MISC,,,de,9
ägyptischen,ägyptischen,MISC,,,de,9
ChatGPT,ChatGPT,MISC,,,de,8
norwegischen,norwegischen,MISC,,,de,8
Lange Zeit,Lange Zeit,MISC,,,de,8
Pandemie,Pandemie,MISC,,,de,8
Staudamm-Zerstörung,Staudamm-Zerstörung,MISC,-0.0875,0.0,de,8
Befreiung,Befreiung,MISC,,,de,8
G7-Außenminister,G7-Außenminister,MISC,,,de,8
Der russische,Der russische,MISC,,,de,8
Aktion,Aktion,MISC,2.05,0.5,de,8
Kriegsfolgen,Kriegsfolgen,MISC,,,de,8
russische Invasion,russische Invasion,MISC,,,de,8
Nord-Stream-Sabotage,Nord-Stream-Sabotage,MISC,-2.0,0.0,de,8
Russlands Armee,Russlands Armee,MISC,0.0,0.0,de,8
Millionen Kinder,Millionen Kinder,MISC,,,de,8
britischem,britischem,MISC,,,de,8
nächsten Jahr,nächsten Jahr,MISC,,,de,8
Kanzleramt,Kanzleramt,MISC,,,de,8
WhatsApp,WhatsApp,MISC,,,de,8
Hyperschallraketen,Hyperschallraketen,MISC,,,de,8
Russland-Politik,Russland-Politik,MISC,2.0999999999999996,0.0,de,8
Russische Raketenangriffe,Russische Raketenangriffe,MISC,,,de,8
Russische Angriffe,Russische Angriffe,MISC,,,de,8
Gaspreis,Gaspreis,MISC,,,de,8
Ukrainische Armee,Ukrainische Armee,MISC,,,de,8
Invasion in der Ukraine,Invasion in der Ukraine,MISC,,,de,8
Ukraine-Konflikt,Ukraine-Konflikt,MISC,,,de,8
sächsische,sächsische,MISC,,,de,8
brasilianische,brasilianische,MISC,,,de,8
Bund-Länder-Gipfel,Bund-Länder-Gipfel,MISC,,,de,8
Apple,Apple,MISC,,,de,8
Russe,Russe,MISC,,,de,8
australische,australische,MISC,,,de,8
F-16-Kampfflugzeuge,F-16-Kampfflugzeuge,MISC,,,de,8
We collect personal data and also transmit it,We collect personal data and also transmit it,MISC,,,de,8
